CustomerID,Age,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Payment_Method,Internet_Service,Tech_Support,Online_Security,Number_of_Services,Customer_Service_Calls,Churn
CUST00001,18,11,82.77,910.47,One Year,Electronic Check,Fiber Optic,No,No,5,6,0
CUST00002,37,62,30.88,1914.56,Two Year,Credit Card,DSL,No,No,4,7,1
CUST00003,47,9,48.30,434.70,Month-to-Month,Bank Transfer,No,No,No,6,3,1
CUST00004,49,10,49.64,496.40,One Year,Credit Card,DSL,Yes,Yes,5,3,0
CUST00005,74,50,51.71,2585.50,One Year,Credit Card,Fiber Optic,No,Yes,3,0,1
CUST00006,49,58,61.78,3583.24,One Year,Bank Transfer,No,Yes,No,2,3,0
CUST00007,56,55,51.01,2805.55,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,6,1,1
CUST00008,18,54,90.16,4868.64,Month-to-Month,Credit Card,Fiber Optic,Yes,Yes,1,4,1
CUST00009,56,47,30.19,1418.93,Two Year,Credit Card,Fiber Optic,No,No,4,5,1
CUST00010,22,23,80.58,1853.34,One Year,Mailed Check,No,No,No,5,2,0
CUST00011,73,58,69.51,4031.58,One Year,Credit Card,DSL,No,No,2,5,0
CUST00012,59,55,87.91,4835.05,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No,3,0,1
CUST00013,33,58,70.97,4116.26,One Year,Electronic Check,DSL,No,Yes,1,6,1
CUST00014,32,47,72.33,3399.51,One Year,Mailed Check,Fiber Optic,No,Yes,2,5,0
CUST00015,32,6,74.95,449.70,Two Year,Credit Card,No,Yes,Yes,5,6,0
CUST00016,62,29,36.55,1059.95,Two Year,Bank Transfer,Fiber Optic,No,Yes,5,7,1
CUST00017,53,60,77.98,4678.80,Month-to-Month,Mailed Check,No,No,Yes,6,3,1
CUST00018,37,5,59.99,299.95,Month-to-Month,Mailed Check,DSL,No,No,2,7,1
CUST00019,65,4,43.63,174.52,One Year,Mailed Check,No,Yes,Yes,4,0,1
CUST00020,51,47,21.45,1008.15,Two Year,Credit Card,No,Yes,Yes,5,4,1
CUST00021,71,46,31.31,1440.26,Two Year,Credit Card,Fiber Optic,No,No,1,7,1
CUST00022,37,14,39.04,546.56,Month-to-Month,Electronic Check,DSL,Yes,No,6,1,1
CUST00023,27,46,43.82,2015.72,One Year,Credit Card,DSL,Yes,No,3,1,0
CUST00024,30,64,86.42,5530.88,Month-to-Month,Bank Transfer,No,No,Yes,1,5,1
CUST00025,65,61,41.90,2555.90,Two Year,Electronic Check,No,No,No,3,2,1
CUST00026,30,70,75.59,5291.30,Month-to-Month,Credit Card,No,Yes,No,3,4,0
CUST00027,56,26,95.66,2487.16,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No,4,4,1
CUST00028,55,12,94.06,1128.72,Month-to-Month,Electronic Check,No,Yes,Yes,5,1,1
CUST00029,28,4,74.17,296.68,One Year,Bank Transfer,Fiber Optic,No,Yes,1,4,1
CUST00030,19,32,44.50,1424.00,One Year,Electronic Check,Fiber Optic,No,No,1,6,1
CUST00031,33,30,64.83,1944.90,One Year,Credit Card,DSL,No,Yes,3,7,0
CUST00032,36,10,83.88,838.80,One Year,Bank Transfer,DSL,No,Yes,2,3,0
CUST00033,76,27,62.19,1679.13,One Year,Electronic Check,Fiber Optic,Yes,Yes,2,2,0
CUST00034,42,6,73.40,440.40,One Year,Credit Card,Fiber Optic,No,No,1,5,1
CUST00035,33,37,31.02,1147.74,Month-to-Month,Credit Card,DSL,No,No,6,0,1
CUST00036,38,30,34.05,1021.50,Two Year,Bank Transfer,No,Yes,No,3,4,0
CUST00037,42,11,85.23,937.53,Two Year,Bank Transfer,Fiber Optic,No,No,5,5,1
CUST00038,58,16,98.36,1573.76,One Year,Mailed Check,DSL,No,No,6,3,0
CUST00039,51,33,45.54,1502.82,One Year,Credit Card,Fiber Optic,Yes,No,2,7,1
CUST00040,58,65,72.21,4693.65,Month-to-Month,Bank Transfer,No,No,Yes,5,7,1
CUST00041,40,36,89.05,3205.80,One Year,Credit Card,No,Yes,Yes,3,5,0
CUST00042,35,31,41.09,1273.79,Month-to-Month,Credit Card,Fiber Optic,No,Yes,6,5,1
CUST00043,53,66,76.69,5061.54,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,6,7,1
CUST00044,37,65,59.64,3876.60,Two Year,Credit Card,Fiber Optic,No,No,2,5,0
CUST00045,25,43,83.36,3584.48,Two Year,Bank Transfer,Fiber Optic,No,No,6,7,1
CUST00046,50,27,69.00,1863.00,Month-to-Month,Bank Transfer,No,No,No,2,5,1
CUST00047,67,20,85.80,1716.00,One Year,Bank Transfer,No,Yes,Yes,6,1,0
CUST00048,69,14,57.45,804.30,One Year,Mailed Check,Fiber Optic,No,Yes,6,4,0
CUST00049,59,68,97.92,6658.56,Two Year,Credit Card,Fiber Optic,No,Yes,2,7,1
CUST00050,49,2,88.59,177.18,Month-to-Month,Electronic Check,No,Yes,No,1,4,1
CUST00051,49,8,24.80,198.40,One Year,Credit Card,No,Yes,Yes,3,7,0
CUST00052,73,16,65.66,1050.56,Two Year,Mailed Check,No,Yes,No,2,5,1
CUST00053,31,41,94.44,3872.04,Month-to-Month,Mailed Check,No,Yes,No,5,0,0
CUST00054,58,37,64.17,2374.29,One Year,Bank Transfer,DSL,Yes,Yes,5,5,0
CUST00055,44,20,84.12,1682.40,One Year,Mailed Check,Fiber Optic,No,Yes,1,5,1
CUST00056,25,3,41.91,125.73,Two Year,Credit Card,DSL,No,Yes,4,3,1
CUST00057,59,23,22.24,511.52,Two Year,Credit Card,No,Yes,Yes,1,1,0
CUST00058,36,62,66.38,4115.56,Two Year,Bank Transfer,Fiber Optic,Yes,No,1,2,0
CUST00059,24,44,23.47,1032.68,One Year,Bank Transfer,No,Yes,Yes,1,3,1
CUST00060,48,44,80.82,3556.08,Two Year,Bank Transfer,DSL,Yes,Yes,4,4,0
CUST00061,36,53,61.75,3272.75,One Year,Credit Card,DSL,Yes,Yes,5,1,0
CUST00062,54,4,52.74,210.96,Two Year,Credit Card,No,Yes,Yes,2,0,1
CUST00063,22,3,97.37,292.11,Month-to-Month,Mailed Check,Fiber Optic,Yes,Yes,2,0,1
CUST00064,25,45,28.44,1279.80,Month-to-Month,Electronic Check,No,Yes,No,5,4,1
CUST00065,73,16,73.81,1180.96,Two Year,Electronic Check,Fiber Optic,No,Yes,5,0,1
CUST00066,77,53,84.89,4499.17,Two Year,Mailed Check,DSL,Yes,No,6,6,1
CUST00067,32,65,80.90,5258.50,Month-to-Month,Credit Card,Fiber Optic,No,Yes,3,3,1
CUST00068,44,42,46.43,1950.06,Month-to-Month,Credit Card,DSL,No,No,3,7,0
CUST00069,59,65,81.59,5303.35,Two Year,Credit Card,No,No,Yes,6,4,0
CUST00070,21,49,72.95,3574.55,One Year,Bank Transfer,No,Yes,No,4,5,1
CUST00071,25,54,56.16,3032.64,Two Year,Credit Card,Fiber Optic,No,No,5,3,1
CUST00072,69,12,39.79,477.48,Two Year,Mailed Check,No,Yes,Yes,1,1,0
CUST00073,64,53,80.30,4255.90,Month-to-Month,Electronic Check,DSL,No,No,6,6,1
CUST00074,49,54,31.19,1684.26,Month-to-Month,Mailed Check,Fiber Optic,Yes,No,1,7,1
CUST00075,63,59,82.06,4841.54,One Year,Credit Card,DSL,Yes,Yes,2,1,0
CUST00076,18,37,71.04,2628.48,Two Year,Electronic Check,No,Yes,Yes,4,3,0
CUST00077,49,44,38.56,1696.64,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,3,0,1
CUST00078,30,34,57.03,1939.02,One Year,Electronic Check,DSL,No,No,6,1,0
CUST00079,73,26,42.70,1110.20,Two Year,Electronic Check,DSL,Yes,Yes,5,3,1
CUST00080,22,70,59.54,4167.80,Month-to-Month,Mailed Check,No,Yes,Yes,3,6,0
CUST00081,54,31,28.08,870.48,One Year,Electronic Check,No,Yes,No,4,5,1
CUST00082,42,72,56.47,4065.84,Month-to-Month,Electronic Check,No,Yes,Yes,3,3,0
CUST00083,25,30,36.36,1090.80,Month-to-Month,Electronic Check,DSL,Yes,Yes,3,3,0
CUST00084,50,58,39.47,2289.26,One Year,Bank Transfer,Fiber Optic,No,No,3,5,0
CUST00085,46,30,77.19,2315.70,One Year,Electronic Check,No,No,No,1,1,0
CUST00086,27,21,93.14,1955.94,Month-to-Month,Bank Transfer,No,No,No,6,3,1
CUST00087,63,19,64.32,1222.08,One Year,Bank Transfer,Fiber Optic,No,No,1,6,0
CUST00088,54,65,41.90,2723.50,Month-to-Month,Bank Transfer,DSL,No,No,5,0,1
CUST00089,19,48,36.36,1745.28,Month-to-Month,Bank Transfer,DSL,No,No,2,1,1
CUST00090,26,71,30.91,2194.61,Two Year,Bank Transfer,DSL,No,Yes,2,6,0
CUST00091,41,11,20.06,220.66,Two Year,Bank Transfer,DSL,Yes,No,5,2,0
CUST00092,34,25,34.78,869.50,Two Year,Bank Transfer,No,Yes,No,1,1,1
CUST00093,37,2,42.33,84.66,Month-to-Month,Bank Transfer,Fiber Optic,Yes,No,3,0,1
CUST00094,40,50,66.44,3322.00,One Year,Electronic Check,No,Yes,Yes,6,2,0
CUST00095,56,47,59.87,2813.89,One Year,Bank Transfer,Fiber Optic,Yes,No,6,3,0
CUST00096,66,59,81.67,4818.53,Month-to-Month,Electronic Check,Fiber Optic,Yes,No,5,0,1
CUST00097,39,71,25.92,1840.32,One Year,Credit Card,Fiber Optic,Yes,Yes,6,5,1
CUST00098,34,10,69.24,692.40,One Year,Credit Card,No,Yes,Yes,5,7,0
CUST00099,36,46,65.43,3009.78,Month-to-Month,Mailed Check,DSL,Yes,Yes,3,0,0
CUST00100,24,27,48.99,1322.73,Two Year,Electronic Check,No,No,No,5,7,1
CUST00101,44,69,56.57,3903.33,One Year,Bank Transfer,No,No,No,4,3,1
CUST00102,67,28,32.01,896.28,Month-to-Month,Bank Transfer,Fiber Optic,No,No,2,4,1
CUST00103,23,33,20.92,690.36,Two Year,Electronic Check,No,Yes,Yes,5,1,0
CUST00104,20,20,96.88,1937.60,Two Year,Electronic Check,Fiber Optic,Yes,No,1,7,0
CUST00105,58,56,74.28,4159.68,Month-to-Month,Bank Transfer,Fiber Optic,Yes,Yes,2,2,1
CUST00106,64,18,72.02,1296.36,Two Year,Bank Transfer,Fiber Optic,Yes,Yes,1,1,0
CUST00107,47,72,45.74,3293.28,Two Year,Credit Card,Fiber Optic,No,No,6,6,0
CUST00108,27,29,30.89,895.81,Month-to-Month,Electronic Check,Fiber Optic,No,No,6,3,1
CUST00109,48,44,96.01,4224.44,One Year,Mailed Check,DSL,No,No,1,4,0
CUST00110,65,7,29.79,208.53,Month-to-Month,Electronic Check,Fiber Optic,Yes,Yes,3,6,1
CUST00111,53,17,68.79,1169.43,Two Year,Credit Card,No,Yes,No,5,2,1
CUST00112,42,36,75.18,2706.48,Month-to-Month,Electronic Check,DSL,Yes,No,6,2,1
CUST00113,39,18,36.83,662.94,Month-to-Month,Bank Transfer,No,No,No,3,4,1
CUST00114,67,68,67.28,4575.04,One Year,Electronic Check,No,Yes,No,1,7,0
CUST00115,34,59,98.92,5836.28,Month-to-Month,Electronic Check,DSL,No,No,6,7,1
CUST00116,34,51,46.30,2361.30,One Year,Mailed Check,DSL,Yes,No,5,3,1
CUST00117,53,30,27.96,838.80,Month-to-Month,Electronic Check,DSL,Yes,No,6,4,1
CUST00118,28,63,33.12,2086.56,Month-to-Month,Mailed Check,No,Yes,No,5,4,1
CUST00119,34,63,21.34,1344.42,Two Year,Mailed Check,DSL,Yes,Yes,2,6,0
CUST00120,75,3,63.63,190.89,One Year,Credit Card,No,Yes,Yes,4,3,1
CUST00121,28,53,68.43,3626.79,One Year,Credit Card,Fiber Optic,No,No,6,2,0
CUST00122,20,1,25.20,25.20,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,2,0,1
CUST00123,23,25,80.55,2013.75,Two Year,Credit Card,Fiber Optic,No,No,3,6,1
CUST00124,40,45,23.93,1076.85,Two Year,Credit Card,DSL,Yes,Yes,4,0,0
CUST00125,50,10,62.99,629.90,Month-to-Month,Mailed Check,No,Yes,No,1,2,1
CUST00126,31,49,58.21,2852.29,Month-to-Month,Bank Transfer,No,No,Yes,4,5,1
CUST00127,74,20,67.96,1359.20,One Year,Electronic Check,Fiber Optic,No,Yes,4,1,0
CUST00128,48,31,91.98,2851.38,Two Year,Bank Transfer,DSL,No,No,5,7,1
CUST00129,22,18,56.19,1011.42,One Year,Bank Transfer,No,No,Yes,6,0,0
CUST00130,54,44,97.48,4289.12,Month-to-Month,Credit Card,DSL,Yes,No,4,0,1
CUST00131,64,58,30.71,1781.18,One Year,Credit Card,Fiber Optic,Yes,No,5,1,1
CUST00132,58,38,81.80,3108.40,Month-to-Month,Bank Transfer,No,Yes,No,2,0,0
CUST00133,26,66,35.40,2336.40,Month-to-Month,Mailed Check,DSL,No,No,4,0,0
CUST00134,66,10,48.31,483.10,Month-to-Month,Bank Transfer,No,No,No,1,3,1
CUST00135,39,46,23.97,1102.62,One Year,Credit Card,No,Yes,No,5,4,0
CUST00136,26,33,82.44,2720.52,One Year,Mailed Check,No,No,No,6,0,1
CUST00137,55,1,61.24,61.24,Two Year,Mailed Check,DSL,No,Yes,6,6,1
CUST00138,72,20,91.34,1826.80,One Year,Bank Transfer,Fiber Optic,No,Yes,5,5,1
CUST00139,62,41,72.24,2961.84,One Year,Electronic Check,No,Yes,No,1,7,1
CUST00140,76,49,99.30,4865.70,Month-to-Month,Electronic Check,DSL,No,Yes,3,3,0
CUST00141,41,24,46.62,1118.88,Month-to-Month,Mailed Check,DSL,Yes,No,5,5,1
CUST00142,19,46,24.33,1119.18,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,6,3,1
CUST00143,40,9,74.13,667.17,Month-to-Month,Mailed Check,DSL,Yes,Yes,3,6,1
CUST00144,53,28,30.18,845.04,Month-to-Month,Credit Card,No,No,No,1,7,1
CUST00145,27,10,68.38,683.80,Month-to-Month,Credit Card,DSL,Yes,No,1,0,1
CUST00146,73,22,38.06,837.32,One Year,Bank Transfer,No,Yes,No,1,7,1
CUST00147,64,17,44.82,761.94,Month-to-Month,Mailed Check,Fiber Optic,No,Yes,1,4,1
CUST00148,60,17,97.30,1654.10,Two Year,Mailed Check,No,No,No,6,7,1
CUST00149,26,13,34.93,454.09,One Year,Credit Card,DSL,No,Yes,4,2,0
CUST00150,26,17,31.45,534.65,Month-to-Month,Electronic Check,Fiber Optic,No,Yes,4,6,1
CUST00151,40,9,82.80,745.20,Two Year,Bank Transfer,No,Yes,No,2,1,1
CUST00152,44,52,46.42,2413.84,One Year,Electronic Check,DSL,No,No,5,5,1
CUST00153,22,15,97.44,1461.60,Month-to-Month,Bank Transfer,Fiber Optic,No,Yes,1,5,1
CUST00154,53,37,66.43,2457.91,One Year,Electronic Check,Fiber Optic,No,Yes,6,1,0
CUST00155,52,7,64.08,448.56,One Year,Bank Transfer,Fiber Optic,Yes,No,6,4,1
CUST00156,48,38,64.65,2456.70,One Year,Electronic Check,DSL,Yes,No,5,5,1
CUST00157,32,46,59.12,2719.52,Two Year,Bank Transfer,No,No,No,5,2,0
CUST00158,67,12,97.96,1175.52,Two Year,Mailed Check,Fiber Optic,No,Yes,1,6,1
CUST00159,65,24,65.18,1564.32,One Year,Bank Transfer,DSL,No,Yes,4,2,0
CUST00160,45,72,61.33,4415.76,Month-to-Month,Electronic Check,Fiber Optic,No,No,5,1,1
CUST00161,43,72,69.58,5009.76,Two Year,Credit Card,Fiber Optic,No,No,1,0,1
CUST00162,73,61,76.19,4647.59,One Year,Electronic Check,No,No,No,3,1,1
CUST00163,19,62,41.74,2587.88,One Year,Mailed Check,No,Yes,No,6,3,0
CUST00164,32,44,44.37,1952.28,One Year,Electronic Check,DSL,No,Yes,3,5,1
CUST00165,33,61,78.73,4802.53,Two Year,Credit Card,DSL,No,No,1,1,0
CUST00166,31,68,97.37,6621.16,Month-to-Month,Credit Card,DSL,No,Yes,3,3,1
CUST00167,64,42,73.01,3066.42,Month-to-Month,Bank Transfer,No,Yes,No,3,7,1
CUST00168,32,31,49.02,1519.62,Two Year,Mailed Check,Fiber Optic,No,No,2,4,0
CUST00169,62,68,70.81,4815.08,Two Year,Credit Card,Fiber Optic,Yes,No,2,7,0
CUST00170,43,9,51.01,459.09,One Year,Mailed Check,Fiber Optic,Yes,Yes,6,2,0
CUST00171,27,27,52.55,1418.85,Month-to-Month,Electronic Check,No,No,Yes,3,7,1
CUST00172,49,40,24.03,961.20,Month-to-Month,Bank Transfer,No,Yes,Yes,1,5,0
CUST00173,30,67,78.20,5239.40,One Year,Mailed Check,Fiber Optic,No,No,4,4,0
CUST00174,56,45,75.35,3390.75,Two Year,Electronic Check,No,No,No,5,1,0
CUST00175,73,52,95.50,4966.00,Month-to-Month,Bank Transfer,DSL,Yes,Yes,5,1,1
CUST00176,27,33,25.34,836.22,Month-to-Month,Mailed Check,DSL,Yes,No,2,7,1
CUST00177,52,68,73.36,4988.48,One Year,Mailed Check,Fiber Optic,Yes,Yes,3,1,0
CUST00178,73,44,46.01,2024.44,Two Year,Electronic Check,No,Yes,No,1,2,1
CUST00179,37,45,40.26,1811.70,One Year,Credit Card,Fiber Optic,Yes,No,4,4,0
CUST00180,51,63,92.40,5821.20,Month-to-Month,Bank Transfer,DSL,No,Yes,3,4,0
CUST00181,21,37,84.71,3134.27,Two Year,Bank Transfer,Fiber Optic,Yes,No,6,5,0
CUST00182,73,35,77.07,2697.45,One Year,Credit Card,DSL,No,Yes,1,0,1
CUST00183,55,21,28.84,605.64,Month-to-Month,Mailed Check,No,Yes,No,4,1,0
CUST00184,66,49,76.06,3726.94,Two Year,Bank Transfer,DSL,Yes,Yes,2,0,0
CUST00185,39,72,96.27,6931.44,Month-to-Month,Credit Card,DSL,Yes,No,2,2,1
CUST00186,19,47,85.58,4022.26,Month-to-Month,Credit Card,No,No,No,3,4,1
CUST00187,43,61,32.43,1978.23,Two Year,Bank Transfer,No,Yes,No,3,7,0
CUST00188,25,31,41.71,1293.01,Month-to-Month,Electronic Check,No,Yes,No,3,7,1
